id,long,lat,voltage
157,229883.1639133016,802599.0069179981,132.0
157,210935.6493888442,801052.307998336,132.0
158,239285.18239464,857126.2104549757,132.0
158,240524.93564281933,850364.0058912057,132.0
159,403090.03410568525,853326.30717607,132.0
159,407200.80804713065,852936.1822083751,132.0
160,403090.03410568525,853326.30717607,132.0
160,395913.7563680908,855130.9203365502,132.0
161,347064.93523487146,751734.6726046044,132.0
161,339942.0580661334,736910.8294260537,132.0
162,246324.32840997545,796324.6625005245,132.0
162,240476.9236620605,803533.7236701474,132.0
163,246324.32840997545,796324.6625005245,400.0
163,276935.96613433235,759132.8397738017,400.0
164,343600.57845264266,731095.6024274137,132.0
164,339942.0580661334,736910.8294260537,132.0
165,383237.5143076908,844744.9366008287,275.0
165,383109.6299910606,844465.6004046408,275.0
166,263209.70146045275,870926.4986296981,132.0
166,257230.45526866283,897413.0014607094,132.0
167,316947.94718238496,951739.4368911542,132.0
167,315449.17174797156,955485.7429932873,132.0
168,289785.2628444013,855269.9552417847,132.0
168,270024.77539479104,841857.5600259525,132.0
169,383109.6299910606,844465.6004046408,275.0
169,412125.356657418,842632.8568387381,275.0
170,383109.6299910606,844465.6004046408,275.0
170,369066.7213231216,835474.9465664253,275.0
171,412125.356657418,842632.8568387381,275.0
171,391730.52113835816,809260.0627433814,275.0
172,391730.52113835816,809260.0627433814,132.0
