node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
425,-6.531,57.4279,6.931992511,1.850148801,5.494297264,6.339307152,7.280671735,8.461883258,12.01244982,15.6427343,19.27440518,22.90607605
428,-3.583,55.0619,34.71362329,9.265066057,27.51401782,31.7456085,36.45971854,42.37491995,60.1552378,78.33476232,96.52122957,114.7076968
431,-2.5727,55.97658,35.4059263,9.44984173,28.06273719,32.3787196,37.18684439,43.22001424,61.35492969,79.89701329,98.44617808,116.9953429
434,-2.841447222,55.80473889,24.24897758,6.472052116,19.21973963,22.17569,25.46870115,29.60072693,42.02105325,54.72024281,67.42428216,80.12832152
437,-3.4489,56.08953,7.290581217,1.945856127,5.778514673,6.667236523,7.657297453,8.899612492,12.63384819,16.45192558,20.27146107,24.09099657
440,0.94787,50.91538,46.46749538,12.40217452,36.83013684,42.49452453,48.8048104,56.72287162,80.52352275,104.8585501,129.2028709,153.5471917
443,-4.3385,55.3442,19.72692304,5.265115759,15.6355592,18.04027112,20.71918727,24.08065495,34.18478493,44.51577453,54.85070951,65.18564448
446,-4.332819444,57.27048889,5.6973226,1.520615402,4.515697893,5.210201517,5.983897926,6.954721697,9.872890333,12.85657818,15.84140549,18.8262328
449,-4.94,55.9746,12.66172153,3.379413477,10.03568049,11.57914434,13.29860612,15.45616347,21.94149724,28.57244081,35.20591672,41.83939263
452,-2.19,57.2159,9.141224905,2.439792927,7.24533486,8.359650176,9.601028518,11.15869324,15.84082864,20.62808812,25.41717585,30.20626358
455,-0.29627,51.50171,7.153715188,1.909326584,5.670034658,6.54207254,7.513547062,8.73254013,12.39667305,16.14307369,19.89090508,23.63873647
458,-0.30207,52.21519,12.25643348,3.271242096,9.714449178,11.20850842,12.87293209,14.96142835,21.23917358,27.65786779,34.0790133,40.5001588
461,-4.174033333,55.11226389,4.193484968,1.119241138,3.323756186,3.834942003,4.404417262,5.118987101,7.266890102,9.463018179,11.65998495,13.85695173
464,-2.3277,55.6681,44.40924783,11.85282825,35.19876983,40.61225714,46.64303299,54.21036882,76.95678556,100.2139086,123.4799136,146.7459185
467,-2.3277,55.6681,0,0,0,0,0,0,0,0,0,0
470,-0.90636,51.92653,19.86719007,5.30255303,15.74673485,18.16854532,20.86650973,24.25187892,34.42785367,44.83230111,55.24072199,65.64914287
473,-6.413,57.4723,7.069063023,1.886732921,5.602939352,6.464658134,7.424636893,8.629205232,12.24997931,15.95204762,19.65552973,23.35901185
476,-4.073,55.87858,10.72379757,2.862181572,8.499681957,9.806912881,11.26320459,13.0905397,18.58326882,24.19932161,29.81751915,35.4357167
479,-4.1916,55.7849,13.76850327,3.674813522,10.91291569,12.59129624,14.46105898,16.80721194,23.85943931,31.07000447,38.28332334,45.4966422
482,-4.1611,55.7395,7.135959595,1.904587616,5.655961575,6.525835049,7.494898362,8.710865877,12.36590438,16.10300642,19.84153565,23.58006489
485,-4.4629,55.8395,9.085555362,2.424934726,7.20121118,8.308740379,9.542558797,11.09073743,15.74435889,20.50246423,25.26238668,30.02230914
488,-3.321172222,57.66490833,16.92836547,4.518180744,13.41742247,15.48099022,17.77986225,20.66445573,29.33516452,38.20054952,47.06932019,55.93809086
491,-1.823393,53.694321,10.94681747,2.921705584,8.67644753,10.01086458,11.49744239,13.36278009,18.96974,24.70258831,30.43762599,36.17266366
494,-0.343537,51.660537,10.29094646,2.746653611,8.156604167,9.411070541,10.80858107,12.56215835,17.83318113,23.22254979,28.61397664,34.00540349
498,-0.343537,51.660537,0,0,0,0,0,0,0,0,0,0
501,-3.6723,55.437,20.04077071,5.348881703,15.88431487,18.32728482,21.04882148,24.46376881,34.72865157,45.22400319,55.72336296,66.22272274
504,-1.21898,52.59645,11.82547284,3.156218702,9.372869774,10.81439491,12.42029413,14.4353547,20.49236189,26.68536202,32.88072724,39.07609246
507,-4.0073,56.706,16.71494586,4.461219049,13.24826609,15.28581799,17.55570763,20.40393441,28.96532967,37.71894682,46.47590695,55.23286709
510,-4.481,55.9036,8.82864484,2.356365308,6.9975839,8.073795706,9.272725675,10.77712676,15.29915864,19.92271995,24.54804698,29.17337401
513,-3.125219444,55.15855278,19.06537447,5.088548447,15.11121581,17.43528496,20.02436281,23.27310262,33.03838742,43.02292404,53.01127372,62.99962341
516,-3.40333,50.76802,26.11546957,6.970218829,20.69912118,23.88259692,27.42907769,31.87915371,45.25549722,58.93216864,72.61406315,86.29595766
519,-4.160388889,57.33611667,5.164158984,1.378314033,4.093112411,4.722623391,5.423916181,6.303888872,8.948971104,11.65344116,14.35894406,17.06444695
522,-2.666025,55.82499167,20.88599205,5.574471279,16.5542373,19.10023973,21.93655745,25.4955305,36.19333563,47.13132967,58.0735009,69.01567214
525,-4.457705556,57.28102778,11.24064116,3.000127127,8.909332187,10.27956635,11.80604542,13.72145067,19.47890707,25.36563085,31.25460276,37.14357467
528,-4.7894,57.3228,30.21349437,8.063981648,23.94721564,27.6302406,31.73323314,36.88161258,52.3569644,68.1797714,84.0086211,99.8374708
531,-4.7145,57.1366,18.08690598,4.827395207,14.33568168,16.54047552,18.99667735,22.07868613,31.34279938,40.81491204,50.29064209,59.76637213
534,-4.7145,57.1366,0,0,0,0,0,0,0,0,0,0
537,-4.7145,57.1366,0,0,0,0,0,0,0,0,0,0
540,-1.33271,50.82193,25.50381334,6.806967779,20.21432245,23.32323729,26.78665515,31.13250494,44.19555813,57.55190517,70.91335298,84.27480078
543,-1.97212,52.25257,31.47268001,8.400058294,24.94524617,28.78176587,33.05575581,38.41870048,54.53900718,71.0212497,87.50978676,103.9983238
547,-1.97212,52.25257,0,0,0,0,0,0,0,0,0,0
550,-5.181380556,56.36945556,9.336964612,2.492035855,7.400478152,8.538654138,9.806613932,11.3976327,16.18002598,21.06979434,25.9614301,30.85306586
554,-1.27258,53.7201,16.30605798,4.352086875,12.92418156,14.91189002,17.1262527,19.90480498,28.25676788,36.79625044,45.33899422,53.881738
557,-1.27258,53.7201,0,0,0,0,0,0,0,0,0,0
560,-2.273,56.96094444,23.87901467,6.373309016,18.92650703,21.83735892,25.08012911,29.14911321,41.37994453,53.88538451,66.3956003,78.90581608
563,-2.273,56.96094444,0,0,0,0,0,0,0,0,0,0
566,-2.292,56.921,5.870185884,1.566752612,4.652709331,5.368284991,6.165456234,7.165735908,10.17244512,13.24666147,16.32205185,19.39744223
569,-2.68833,53.37157,10.18384439,2.718068069,8.071715066,9.313125698,10.69609177,12.43141885,17.64758395,22.98086326,28.31617934,33.65149541
572,-4.329588889,56.47699167,6.050487737,1.614875177,4.79561658,5.533171035,6.35482727,7.38583038,10.4848902,13.65353063,16.82338115,19.99323168
575,-4.278133333,55.86244444,12.28232892,3.27815359,9.734973905,11.2321898,12.90013007,14.99303892,21.28404779,27.71630345,34.15101557,40.5857277
578,-0.87978,51.25048,23.34615168,6.231087884,18.50415982,21.35005571,24.52046311,28.49864736,40.45654625,52.68292588,64.91397475,77.14502361
582,-2.16339,55.01232,10.47799625,2.7965772,8.30485983,9.582127573,11.00503946,12.79049003,18.15731971,23.64464634,29.13406858,34.62349082
585,-2.02397,57.68622,14.58898696,3.89380062,11.56323107,13.34162858,15.322813,17.80877638,25.2812555,32.92150798,40.56467824,48.20784851
588,-2.716069,53.309609,22.18698955,5.92170751,17.58540791,20.29000194,23.30299512,27.08365814,38.44783418,50.06716061,61.69092443,73.31468826
593,-2.716069,53.309609,0,0,0,0,0,0,0,0,0,0
596,-5.078256,56.82061,12.23704323,3.266066839,9.699080468,11.19077604,12.85256651,14.93775868,21.20557222,27.61411176,34.02509871,40.43608566
599,-4.3024,57.6994,6.168273235,1.646312127,4.888973366,5.640885874,6.478537379,7.529611138,10.68900069,13.91932538,17.15088373,20.38244208
602,-2.769525,55.60803611,7.057985945,1.883776449,5.59415966,6.454528146,7.413002638,8.615683443,12.23078384,15.92705108,19.62472992,23.32240876
605,-3.950083333,55.53543333,20.71304418,5.528311493,16.41715882,18.94207891,21.75491031,25.28441304,35.89363427,46.74105551,57.59261935,68.4441832
608,-4.2977,55.798,8.808408825,2.350964315,6.981544835,8.055289871,9.251471789,10.75242465,15.26409165,19.87705535,24.49178074,29.10650612
611,-4.556,57.093,5.394607178,1.439820656,4.275765649,4.933368264,5.665955919,6.585196982,9.348314778,12.17347056,14.99970526,17.82593996
614,-4.7159,57.201,6.149681615,1.641350023,4.874237648,5.623883837,6.4590106,7.506916347,10.65678327,13.87737153,17.09918973,20.32100793
617,-3.31586,57.42781,4.810220473,1.283847844,3.812580747,4.398946622,5.052174562,5.871836131,8.335631057,10.85474352,13.37481802,15.89489253
620,-4.0138,55.3372,33.24851218,8.8740279,26.35277075,30.40576439,34.92091234,40.58645882,57.61634675,75.02859258,92.44748811,109.8663836
